"","X","n"
"371","#instadaily",4
"372","#instagram",4
"373","#Irresistible",4
"374","#Japon",4
"375","#JudithLeiberCouture",4
"376","#katyperry",4
"377","#Lawsuit",4
"378","#leadership",4
"379","#LeiberPets",4
"380","#like4like",4
"381","#MAGA",4
"382","#Manualiades",4
"383","#Matcha",4
"384","#MePongoMamonSi",4
"385","#midnight",4
"386","#milk",4
"387","#moms",4
"388","#MyOreoCreationcontest",4
"389","#nsfw",4
"390","#nylon",4
"391","#oc",4
"392","#Paleo",4
"393","#pantyhose",4
"394","#paranormalromance",4
"395","#parents",4
"396","#photooftheday",4
"397","#pie",4
"398","#Recipes",4
"399","#refreshing",4
"400","#relax",4
"401","#restaurant",4
"402","#RestaurantDeals",4
"403","#review",4
"404","#Sale",4
"405","#SALE!",4
"406","#Save",4
"407","#Scandal",4
"408","#selfie",4
"409","#series,",4
"410","#sipface",4
"411","#slime",4
"412","#smallbiz",4
"413","#smores…",4
"414","#socmedupdate",4
"415","#SoundCloud",4
"416","#Starbucks?",4
"417","#StarbucksAdictos",4
"418","#starbuckscoffee…",4
"419","#Starbuckshólicos",4
"420","#strawberry…",4
"421","#strowberry",4
"422","#target",4
"423","#technews",4
"424","#TheVerge",4
"425","#thirsty",4
"426","#TRMX",4
"427","#Tuesday",4
"428","#tweens",4
"429","#unicornfrapp",4
"430","#UnicornFrappuccino🦄✨",4
"431","#VanillaBeanFrappuccino",4
"432","#wednesdaywisdom",4
"433","#winning",4
"434","#x27;s",4
"435","#このタグをみた人は好きな飲み物を答える",4
"436","#☼",3
"437","#ハワイ…",3
"438","#프라푸치노",3
"439","#モカフラプチーノ",3
"440","#อร่อยนะรู้ยัง",3
"441","#クラシックティークリームフラペチーノ",3
"442","#039;t",3
"443","#5",3
"444","#80s…",3
"445","#A114fun",3
"446","#addiction",3
"447","#americancherrypiefrappuccino",3
"448","#BAMSCE",3
"449","#Bargains…",3
"450","#Bargains……",3
"451","#basicwhitegirl",3
"452","#birthday",3
"453","#bn",3
"454","#bnamherstny",3
"455","#BoycottStarbucks",3
"456","#Branding…",3
"457","#brownie",3
"458","#BUGS101:",3
"459","#businesscoaching",3
"460","#BuzzFeed",3
"461","#Cafe",3
"462","#CaramelCream",3
"463","#Cavs",3
"464","#CCJitters",3
"465","#Celebrities",3
"466","#cheatday",3
"467","#China",3
"468","#classic",3
"469","#cocinayrecetas",3
"470","#coffee...",3
"471","#coffeebreak",3
"472","#coffeeshop",3
"473","#comeseeus",3
"474","#COMMONS17",3
"475","#concierge",3
"476","#conciergeservices",3
"477","#copycatrecipe",3
"478","#coupons",3
"479","#cream…",3
"480","#Delicious",3
"481","#Diabetasol",3
"482","#DIY",3
"483","#drink…",3
"484","#DrinkingCelebs",3
"485","#DrunkMillennialsCantEven",3
"486","#eat",3
"487","#eatingdisorder",3
"488","#fail",3
"489","#fastfood",3
"490","#favorite",3
"491","#favorite,",3
"492","#fb",3
"493","#featured",3
"494","#feedly",3
"495","#FelizViernes",3
"496","#ff",3
"497","#FinalsWeek",3
"498","#FirstDraftCartoons",3
"499","#foodie…",3
"500","#ForeverAUnicorn",3
"501","#FOX13GMM",3
"502","#fraphappyhour",3
"503","#frappe…",3
"504","#Frappe",3
"505","#frappu…",3
"506","#frappuccinohappyhour!",3
"507","#FrappuccinoHappyHour:",3
"508","#FrappyHour?",3
"509","#fridayfeeling",3
"510","#funjapan",3
"511","#FunnyFriday",3
"512","#Giveaway",3
"513","#glindr",3
"514","#GrandeWednesday",3
"515","#happyday",3
"516","#happymothersday",3
"517","#Healthy",3
"518","#hour",3
"519","#HumpDay",3
"520","#Hungry",3
"521","#icedcoffee",3
"522","#instalike",3
"523","#Japan",3
"524","#Japan,",3
"525","#japanguide",3
"526","#java",3
"527","#joy",3
"528","#jwpspan",3
"529","#Kanata",3
"530","#kidslearn",3
"531","#KSA",3
"532","#LasVegas",3
"533","#LeonardSimpsonTV",3
"534","#life",3
"535","#lifestyle",3
"536","#Look",3
"537","#Love",3
"538","#lowcarb",3
"539","#MainStreet",3
"540","#malta",3
"541","#Marketing",3
"542","#mermaid",3
"543","#mermay…",3
"544","#midnightmintmocha…",3
"545","#millennials",3
"546","#Mint",3
"547","#Mmm!!",3
"548","#mochadrizzleontop",3
"549","#MOOC",3
"550","#MyArt",3
"551","#mylittlepony",3
"552","#NationalEatWhatYouWantDay",3
"553","#NewNBATeams",3
"554","#NEWRT",3
"555","#newyork",3
"556","#NoRegrets",3
"557","#notmyavril",3
"558","#nuffsaid",3
"559","#OkayMaybeSomeRegrets…",3
"560","#paleo",3
"561","#PartnerCraft",3
"562","#people",3
"563","#peppapig",3
"564","#perfectblend",3
"565","#phx",3
"566","#pokemongo",3
"567","#popcorn",3
"568","#pr",3
"569","#Press",3
"570","#primaironderwijsdag",3
"571","#printmag",3
"572","#RevengeOfTheFifth",3
"573","#romance",3
"574","#SaturdayNight",3
"575","#sb",3
"576","#SBUX",3
"577","#science",3
"578","#series!…",3
"579","#SethRich",3
"580","#SmallBiz",3
"581","#SmokedButterscotchFrappuccino",3
"582","#smorefrappuccino",3
"583","#S'mores",3
"584","#starbuck",3
"585","#Starbucks'",3
"586","#starbuckscanada…",3
"587","#StarbucksDate",3
"588","#starbucksjapan",3
"589","#starbuckslover",3
"590","#starbuckssecretmenu",3
"591","#StarbucksSecretMenu",3
"592","#Starbucksuk…",3
"593","#startup",3
"594","#Strawberries",3
"595","#strawberrycream",3
"596","#sugarfree",3
"597","#sunday",3
"598","#sundayfunday",3
"599","#tailgatebeer",3
"600","#tailgatebrewery",3
"601","#Tbt",3
"602","#tecnologia",3
"603","#TGIF",3
"604","#TopPick",3
"605","#tower.",3
"606","#toychannel",3
"607","#Trademark",3
"608","#trademarks",3
"609","#trading",3
"610","#transformationtuesday",3
"611","#TuesdayMotivation",3
"612","#tuesdaytips",3
