"","retweeted_status.user.screen_name","n"
"353","Snookielovesme",4
"354","StarbucksCOL",4
"355","starbucks_sv",4
"356","StarbucksTR",4
"357","subtovurb",4
"358","TheDrumAmericas",4
"359","themonsterghost",4
"360","treydayway",4
"361","TrivWorks",4
"362","ttommyguidoo",4
"363","UCStarbucks",4
"364","VIVAcoid",4
"365","vuhsace",4
"366","YahooSG",4
"367","yuukirinrin329",4
"368","10News",3
"369","31i55a",3
"370","5sosraps",3
"371","AaronCarpenter",3
"372","ActionNewsJax",3
"373","adkaromatherapy",3
"374","AlyssaVillescas",3
"375","AmaryllisRouge",3
"376","anto_nardini",3
"377","Aplepiee",3
"378","ariivelaa",3
"379","AsencioElijah",3
"380","azatty",3
"381","beyoncesanatomy",3
"382","bitcoinagile",3
"383","blade_funner",3
"384","blicqer",3
"385","BNNatomas",3
"386","BN_Portage",3
"387","BNWebsterNY",3
"388","carlberg_alyssa",3
"389","Cattuccinos",3
"390","chpe9x",3
"391","CNNnews18",3
"392","cnnphilippines",3
"393","CookingNewz",3
"394","danielJatwell",3
"395","DanKennedy_NYC",3
"396","DenisseNiece",3
"397","duhgina",3
"398","dylanhaines4",3
"399","Earriffic",3
"400","ErinAbbott05",3
"401","ethiopienne",3
"402","fasciination",3
"403","foodandwine",3
"404","FortuneMagazine",3
"405","freakshow1055",3
"406","funnyordie",3
"407","GanqueGaming",3
"408","gregrosname",3
"409","harboreast",3
"410","Heissarcastic",3
"411","hellogiggles",3
"412","heterostraight",3
"413","iiamaiiz",3
"414","itsraashi",3
"415","itsVictoriaSage",3
"416","Jaaybistecs",3
"417","jacob_e39",3
"418","joshrothenbush",3
"419","JudithLeiber",3
"420","julian_nowicki",3
"421","KarenKilgariff",3
"422","kerten_kele",3
"423","KFIAM640",3
"424","KISSFMSEATTLE",3
"425","LaCooquette",3
"426","layluurs",3
"427","Letribunaldunet",3
"428","lewna_",3
"429","lindseyr_16",3
"430","luckylizzzard",3
"431","lumpeninsan",3
"432","malinamran",3
"433","mamii_lani",3
"434","mariaaoun13",3
"435","martisaraco6",3
"436","mattya_sweet",3
"437","megannicole",3
"438","MeowFoxcat",3
"439","merlotmommy",3
"440","MIGUELPALLARES",3
"441","Milligray4",3
"442","miraaanda44",3
"443","mntkitty",3
"444","MONEY",3
"445","Monica61",3
"446","NAITFood",3
"447","NicheCartoons",3
"448","O92KJ",3
"449","oldxhabits",3
"450","OrganicLife",3
"451","ParmaStarbucks",3
"452","PicoNavarro",3
"453","PLATINUMVOICEPR",3
"454","POPSUGARUK",3
"455","publicwizard",3
"456","rafaramosESPN",3
"457","RealSimple",3
"458","RelatablBangtan",3
"459","Reverend_Scott",3
"460","RingOfIcyy",3
"461","risotto_en",3
"462","rosabintash",3
"463","runmarerunnn",3
"464","RYouBeingServed",3
"465","saeedk72",3
"466","ScottLinnen",3
"467","shanedawson",3
"468","SlaveofDakota",3
"469","sofarrsogud",3
"470","Srcolgate",3
"471","Starbucks_cr",3
"472","starbucks_gua",3
"473","statut0s",3
"474","svnder",3
"475","syrianbryn",3
"476","tayyayyay28",3
"477","TCPalmKelly",3
"478","TheBoydP",3
"479","TheDrum",3
"480","theTonyGee",3
"481","thisgabeguy",3
"482","TuExAmiguita",3
"483","twinchallenge",3
"484","wattsupamanda",3
"485","WORIDSTARHIPH0P",3
"486","xemmalayy",3
"487","xvenusasaboyx",3
"488","yesiguzzzy",3
"489","yungbrownboy",3
"490","10yusufalp",2
"491","303Congress",2
"492","5Prill",2
"493","708nao0804",2
"494","949TheBull",2
"495","aaronbergcomedy",2
"496","abidorable",2
"497","Adam_Connie",2
"498","akanacke",2
"499","Alexisvaladez_",2
"500","AlFlynn91",2
"501","alt_bit_coins",2
"502","AmeliaCheire",2
"503","anissmarzuki",2
"504","annedumalag",2
"505","AnOrangeSNES",2
"506","ar48ii",2
"507","a_suger_flower",2
"508","asyraf0518",2
"509","AubreeMartz",2
"510","AustinMcbroom",2
"511","ayahnaaragon",2
"512","AyoAmandii",2
"513","B2Community",2
"514","Barnes_Bismarck",2
"515","BeamingBaker",2
"516","BehaviorFit",2
"517","bellesthetics",2
"518","Bglasserbaker",2
"519","bidonjuan",2
"520","blattinaa",2
"521","bmanking101",2
"522","BMS_ThadCastle",2
"523","BNAmherstNY",2
"524","BNBattleCreek",2
"525","BNLakeGrove",2
"526","BNMayfair",2
"527","BNOxfordValley",2
"528","BNPoughkeepsie",2
"529","BNReno",2
"530","BNSunsetValley",2
"531","BNWarwickRI",2
"532","bnwaterbury",2
"533","boyfdrums",2
"534","bradenbruhh",2
"535","brittanyhannan9",2
"536","brooklynn10145",2
"537","bryanna_hodgson",2
"538","Buns_In_My_Oven",2
"539","BzzAgent",2
"540","CaryStarbucks",2
"541","CaseShuff",2
"542","cbsboston",2
"543","Chelseaajpg",2
"544","chrisgotjuiice",2
"545","ChrisShadowens",2
"546","cinpasta",2
"547","CJ_Ledford",2
"548","ClarkeMicah",2
"549","ComedyPics",2
"550","CorderyEllie",2
"551","CoreyBoland1",2
"552","CouchCastNeal",2
"553","CountryLiving",2
"554","CPFoodBlog",2
"555","CUSFeed",2
"556","dancefails",2
"557","__danielasilva",2
"558","danimartinezgu",2
"559","DanVegaBusiness",2
"560","DAYTRADINGz",2
"561","deco0923",2
"562","desolateson",2
"563","DIYcookingTH",2
"564","DjDrLongShaft",2
"565","DKissTV",2
"566","doloresapreda",2
"567","dornobdesign",2
"568","DottyLaAbstract",2
"569","dougch18",2
"570","Dr_Phillz",2
"571","EastBoston_Sbux",2
"572","Eater",2
"573","ekwolff",2
"574","EliteDaily",2
"575","El_Universal_Mx",2
"576","EmmanRodri",2
"577","EmperorDarroux",2
"578","erikpcarlson",2
"579","Ernes_tinO",2
"580","EvaDeMetal",2
"581","everythingAAHE",2
"582","EwItsBerkeley",2
"583","extracrispy",2
"584","FariziRusli",2
"585","feesha724",2
"586","filteredmedia",2
"587","foodbeast",2
"588","foybj",2
